ID,OriginalAmount,TermYears,Collateral_valuation,CurrentInstallment,Rate,PD,LGD
4441,319612,21,175831,18,5.20%,99.21%,52.6%
24301,3184934,12,1418333,91,8.90%,0.51%,23.0%
15092,562809,11,512158,107,5.90%,15.89%,41.3%
24627,1726760,23,1501536,10,6.70%,0.51%,42.6%
16840,1355743,12,602776,110,6.40%,20.54%,40.4%
18672,686732,22,717273,117,8.00%,0.04%,85.2%
13059,586689,36,426066,274,2.90%,33.71%,80.1%
5867,344497,23,210016,57,8.30%,1.36%,70.6%
19201,1191601,24,759880,268,3.70%,30.00%,65.2%
13243,426066,22,432601,92,4.90%,23.82%,42.6%
27132,3793617,43,2702940,148,3.90%,17.81%,12.7%
15535,1168350,21,532519,121,12.30%,30.58%,24.6%
15652,605918,35,537295,34,8.70%,76.25%,55.9%
26095,1809082,22,2034055,229,4.10%,2.25%,29.3%
4906,157858,20,186388,44,12.70%,40.02%,63.4%
13574,1898694,48,445546,41,7.50%,3.47%,27.3%
411,157984,23,50776,130,12.60%,10.71%,59.8%
19528,960344,23,784639,144,6.20%,0.95%,49.1%
1044,174699,23,80060,234,8.40%,27.14%,47.6%
4659,548230,24,181109,114,2.30%,26.72%,65.3%
20630,1222645,16,879781,178,8.10%,19.23%,38.7%
23662,2653923,46,1288377,19,2.30%,1.45%,16.0%
22544,998175,23,1100230,240,8.00%,0.18%,72.1%
12297,614716,36,398038,335,7.10%,42.46%,88.9%
4612,181989,22,179475,205,8.80%,99.93%,74.9%
19226,784639,36,762393,284,2.20%,51.58%,62.4%
23188,1219503,33,1205929,285,9.80%,91.87%,76.0%
18953,1491230,47,738765,267,12.00%,32.89%,48.0%
2145,420661,12,115377,99,12.60%,1.33%,65.3%
22169,984727,36,1053601,291,3.40%,21.13%,62.4%
8019,501475,23,264814,4,9.40%,71.58%,22.9%
13009,348016,34,424432,256,11.10%,21.72%,59.7%
16518,601896,22,582792,250,3.70%,4.55%,28.4%
9623,383208,11,309432,27,2.70%,26.87%,85.2%
19997,1123732,35,823224,27,5.90%,20.29%,19.4%
19026,795699,58,746055,551,4.50%,62.75%,23.0%
25282,2205486,36,1688049,52,12.10%,1.85%,17.5%
1367,208885,23,91749,268,12.80%,51.19%,82.3%
25935,2091743,13,1949093,90,8.10%,6.96%,53.4%
11471,857787,11,370011,2,7.00%,69.31%,52.5%
12611,811913,34,409350,262,12.50%,3.07%,21.5%
23649,3218743,24,1284732,35,11.00%,1.61%,45.9%
19464,693519,12,780617,117,3.00%,0.21%,59.3%
21842,841322,34,1009361,308,6.20%,7.22%,77.7%
14591,1401115,36,489410,350,6.90%,70.90%,33.3%
15291,1063781,23,520705,138,10.30%,0.17%,37.5%
19391,883301,23,773705,78,4.20%,23.96%,61.6%
10120,296109,22,323760,228,9.50%,68.20%,54.1%
21017,654306,35,917486,371,4.50%,29.81%,23.1%
21512,1364792,23,971907,108,3.90%,1.06%,56.9%
23246,2299246,23,1216486,149,9.00%,75.27%,52.5%
26916,2165519,22,2525852,71,4.60%,2.70%,51.5%
20724,754350,13,887448,29,8.40%,0.00%,69.4%
22010,1754033,20,1032863,146,10.10%,49.42%,31.9%
13789,937596,17,454847,29,11.20%,0.28%,34.2%
27426,2334437,34,3028710,92,8.30%,9.32%,65.8%
17092,511027,23,617732,194,11.90%,55.94%,30.0%
9189,373530,13,298497,49,12.50%,85.24%,87.2%
4933,277634,23,186891,169,4.30%,7.51%,61.6%
19819,1136426,16,807011,113,3.80%,0.01%,74.7%
24295,3011995,36,1417454,184,12.10%,25.68%,15.9%
1638,146923,13,101552,40,3.30%,95.19%,49.6%
25349,1247153,23,1713186,241,7.10%,94.65%,59.1%
11625,464650,23,375290,47,12.90%,0.00%,20.1%
28002,3878956,47,4205355,486,5.60%,10.02%,53.3%
25295,1909880,21,1692071,83,7.10%,62.73%,71.7%
53,167284,22,16590,262,8.60%,0.48%,67.6%
15978,630301,35,554011,406,8.20%,0.02%,13.1%
14314,473825,23,476842,104,3.10%,50.33%,49.5%
14797,736503,22,498710,254,9.10%,33.79%,51.7%
4394,149563,23,174699,132,2.00%,6.77%,79.8%
8101,261044,24,267705,229,7.70%,2.86%,58.8%
16957,926787,15,609689,156,10.00%,77.49%,10.6%
16711,555519,34,594230,171,6.90%,64.94%,25.1%
5778,318481,12,208005,125,7.20%,12.57%,85.6%
18322,651541,23,692514,97,5.90%,49.70%,12.0%
11289,358197,23,363978,271,12.20%,17.62%,73.0%
5936,174699,11,211650,81,2.30%,6.93%,13.5%
9030,595361,23,294098,169,12.20%,0.42%,96.4%
9972,538552,46,318481,273,6.80%,58.21%,51.7%
16750,444918,22,596240,79,10.40%,20.74%,51.6%
24406,1369945,22,1443847,1,11.20%,1.35%,62.4%
17706,962230,12,655186,127,6.00%,2.09%,28.3%
8302,235027,13,272481,154,9.50%,6.14%,68.0%
3662,371142,20,155973,13,7.20%,0.00%,19.1%
8691,793060,11,283918,54,11.60%,90.92%,57.4%
21004,648148,24,916732,269,2.30%,61.87%,10.5%
12095,419279,12,390372,73,2.30%,4.36%,24.9%
17401,649907,22,636459,93,6.90%,46.39%,79.5%
10488,293093,23,336705,144,10.20%,0.02%,46.6%
22157,838055,35,1051967,91,6.30%,0.22%,55.9%
24999,1593536,35,1602333,193,7.90%,19.59%,47.5%
12209,712874,17,394393,127,8.20%,2.40%,86.0%
17143,667126,20,620623,211,6.60%,88.91%,10.3%
11536,705585,23,372399,41,6.30%,33.41%,11.5%
15552,1826301,34,532896,39,6.20%,13.04%,59.2%
25503,1566639,35,1770497,393,12.90%,18.22%,46.5%
16429,591087,24,578393,155,5.00%,2.98%,21.3%
11678,399798,23,376044,91,10.20%,21.05%,58.9%
9169,312197,22,298120,47,6.30%,84.54%,79.1%
27699,3341536,23,3460432,95,5.70%,0.20%,8.6%
5056,382831,12,190033,132,3.50%,15.71%,15.8%
18864,1827180,22,732355,33,2.20%,0.25%,57.7%
2585,851251,48,127066,39,10.90%,85.44%,35.8%
19563,635077,24,786273,98,4.80%,0.09%,66.7%
13050,999934,35,426066,207,4.60%,0.00%,17.5%
4261,227361,11,170552,43,3.90%,0.37%,85.4%
1247,763650,23,87727,143,5.40%,96.98%,61.2%
2555,261923,11,126311,131,10.00%,0.05%,67.5%
24792,3067295,47,1547913,161,9.00%,0.43%,68.9%
21721,1896683,12,997169,86,2.70%,95.15%,26.6%
25723,1795005,12,1856087,15,6.00%,95.03%,46.4%
17866,598880,23,664109,121,11.10%,19.85%,22.7%
6893,1041158,13,235153,60,3.60%,2.04%,53.7%
6280,191667,11,219694,127,11.30%,0.01%,35.5%
2765,375918,36,131967,150,7.40%,58.96%,93.5%
22268,1671333,47,1065792,60,10.90%,5.27%,41.7%
22966,1267262,47,1166087,415,2.30%,52.35%,41.6%
15768,646011,22,543454,98,5.60%,25.10%,55.5%
20078,1443470,23,830639,204,4.40%,9.31%,72.0%
24239,1364415,44,1406519,193,5.60%,0.04%,57.1%
9514,351410,23,307421,90,5.60%,0.97%,52.9%
21140,1506689,23,932945,40,6.10%,46.65%,88.2%
6569,253503,23,226607,64,9.20%,3.49%,37.1%
11809,660716,11,380568,85,5.10%,10.18%,19.5%
7538,553508,47,252623,114,10.10%,7.11%,22.9%
24046,1179033,55,1366678,268,7.80%,4.53%,62.3%
6429,256142,23,222962,246,8.30%,0.46%,28.4%
11316,857787,23,364732,50,4.40%,62.02%,23.8%
18564,976683,36,709984,202,9.20%,30.37%,88.3%
19677,561049,23,796077,79,6.20%,23.83%,31.6%
8496,1138186,23,278639,11,3.80%,9.37%,12.4%
23389,1046437,23,1241623,42,8.30%,3.63%,16.9%
1202,209388,22,85716,1,10.30%,56.60%,49.0%
2875,542448,21,135235,71,12.30%,87.75%,68.2%
15201,628038,34,516683,260,2.10%,18.63%,28.1%
21400,1095831,22,959716,231,4.90%,59.80%,39.4%
27462,2802104,47,3056361,227,10.70%,11.95%,52.3%
9518,370011,23,307421,151,2.30%,9.15%,42.9%
3444,280650,11,149814,108,8.50%,90.91%,30.9%
10240,309180,47,327404,81,12.10%,0.78%,33.8%
27353,2054541,22,2939727,254,12.30%,2.43%,63.1%
18747,869224,46,722552,212,6.60%,68.13%,26.2%
12440,422546,21,402940,204,5.50%,84.91%,1.5%
18703,773077,34,719284,405,7.80%,38.90%,58.1%
18769,910574,29,723306,246,7.00%,24.41%,24.2%
13272,444415,11,434235,19,6.20%,0.62%,84.2%
26246,1987049,11,2113612,90,7.80%,55.12%,60.0%
10743,330169,11,345628,8,11.60%,29.80%,49.0%
4418,210142,12,175454,104,9.00%,16.83%,47.7%
26972,2428699,34,2575497,138,12.90%,1.71%,51.7%
24421,1191475,23,1447115,123,6.20%,72.86%,18.4%
10192,255514,22,325770,83,8.80%,0.02%,70.0%
27913,3399852,22,3914525,74,8.60%,8.04%,49.7%
18259,591339,23,688869,156,8.50%,6.96%,68.4%
13783,475082,22,454847,126,11.10%,0.39%,63.5%
17253,423175,23,626656,35,6.30%,33.03%,38.7%
3730,486645,36,157984,23,4.40%,0.00%,62.3%
2544,485765,24,125934,136,8.20%,50.11%,68.1%
17046,677055,34,615344,179,6.50%,51.04%,18.8%
14982,564066,24,506503,152,5.80%,11.72%,44.4%
4398,340350,35,174699,174,10.90%,5.95%,34.8%
17816,1288754,11,660842,81,11.70%,82.15%,29.3%
3544,219443,11,152328,119,10.80%,21.48%,22.9%
16025,613710,11,556902,111,5.50%,32.05%,59.3%
26137,2628410,21,2049891,111,11.20%,55.35%,56.5%
4688,154339,11,181612,67,11.80%,22.06%,58.9%
11672,913842,23,376044,105,8.20%,2.89%,69.8%
23124,2324383,23,1195372,256,7.30%,36.28%,64.9%
19971,1081628,41,821213,485,12.30%,33.35%,30.9%
15528,473574,23,531639,159,2.50%,0.36%,24.5%
16080,665366,22,559667,134,3.60%,15.15%,63.2%
25082,1738951,46,1630738,216,3.90%,7.49%,72.5%
17398,1219628,22,636459,255,6.60%,85.11%,19.6%
8167,308301,35,269339,254,8.90%,3.16%,65.3%
11860,1161940,47,382202,537,9.30%,1.05%,29.4%
14053,1741087,23,466284,159,6.40%,63.11%,29.8%
12455,274240,11,403694,69,2.40%,0.01%,25.5%
147,837803,22,29661,53,12.50%,10.62%,64.1%
23063,1394328,35,1183557,417,2.60%,9.98%,36.4%
27249,3937148,27,2823219,205,6.90%,34.94%,70.9%
9113,673033,13,296486,118,7.20%,0.09%,63.9%
8390,1021803,34,275749,54,2.20%,40.98%,64.5%
5808,336956,37,208760,381,12.40%,70.63%,39.4%
19604,958082,35,789918,124,3.60%,37.21%,53.6%
13820,1209574,24,456104,89,9.10%,17.82%,81.7%
25501,1614776,47,1769617,130,9.30%,9.32%,34.3%
24901,2254880,12,1578328,143,8.10%,1.11%,7.8%
19462,676678,11,780617,126,12.40%,0.65%,64.7%
28159,7204404,23,4860038,82,11.00%,9.38%,25.5%
12593,419781,35,408973,117,10.30%,31.24%,87.1%
17930,944131,23,667754,40,12.10%,13.85%,46.7%
27417,2392880,11,3016896,78,8.30%,0.85%,66.1%
24851,4975038,44,1564880,67,5.10%,0.47%,66.0%
9843,263055,23,314710,49,8.40%,0.01%,46.5%
8527,439011,23,279393,136,6.40%,34.84%,20.9%
2474,571230,47,123923,485,5.50%,0.01%,38.8%
26210,2054541,34,2086087,287,4.00%,6.23%,85.0%
20283,2008667,36,848109,372,10.30%,0.01%,79.4%
6464,330798,24,223842,267,10.40%,0.03%,30.6%
20210,1940923,24,841197,43,7.90%,3.55%,6.7%
12476,678060,22,404071,44,10.50%,30.75%,93.7%
21876,1104880,12,1013005,108,10.80%,9.85%,27.3%
12028,357317,18,387858,11,8.60%,2.55%,53.8%
23272,1498142,24,1222896,20,8.40%,21.14%,71.6%
21947,986361,23,1023940,218,11.10%,88.33%,74.8%
15557,602902,21,533273,54,6.00%,92.26%,51.4%
138,280399,13,29284,76,9.10%,94.02%,27.8%
20131,1420344,20,834661,170,12.10%,0.56%,43.9%
15539,889208,12,532519,1,10.30%,38.01%,73.7%
10046,342235,24,321246,198,5.60%,0.10%,75.6%
6900,216678,19,235530,94,6.10%,0.26%,90.3%
9708,1185191,44,311945,464,4.00%,0.00%,76.8%
28458,16284503,47,14655022,276,11.60%,0.65%,45.4%
5174,365863,23,192923,167,2.40%,49.52%,67.1%
20525,776219,22,871612,107,3.10%,4.65%,89.5%
18696,1937781,19,718907,95,9.50%,11.98%,24.9%
1288,361967,12,88984,107,5.30%,1.64%,20.6%
11810,462514,11,380568,59,5.90%,2.82%,52.1%
27552,3730399,24,3182672,44,3.70%,49.66%,67.9%
6572,1041158,12,226607,26,4.40%,3.05%,72.4%
25550,1606355,47,1791612,265,4.20%,10.38%,45.9%
3236,786902,11,144536,107,9.10%,2.12%,26.4%
12937,355683,23,421541,211,7.60%,0.00%,14.9%
7188,842956,12,244077,57,4.30%,0.24%,57.2%
15872,411235,24,548732,218,5.20%,97.71%,12.6%
4210,306290,23,169421,229,8.10%,90.26%,33.5%
20763,1194240,46,891973,368,2.40%,32.37%,30.3%
17055,1011372,35,615721,382,11.30%,97.24%,15.5%
9738,475333,23,312322,18,5.90%,5.15%,84.0%
23807,1597180,24,1317158,142,12.10%,67.12%,33.7%
16487,834410,22,581661,93,6.40%,6.78%,64.7%
22197,1003328,24,1057246,114,9.70%,71.37%,39.2%
3169,417393,35,142525,82,7.60%,1.12%,58.0%
26421,3996721,45,2220820,265,5.20%,3.82%,55.5%
11985,860049,11,385847,65,2.30%,1.31%,43.2%
13317,1016148,23,436246,51,12.30%,22.74%,67.8%
25773,1420721,35,1870792,412,4.40%,78.58%,76.6%
5120,317475,23,191667,229,7.40%,44.96%,59.1%
25911,2643492,24,1936148,283,7.90%,0.75%,60.4%
5667,348519,23,204738,52,8.60%,60.65%,33.6%
23242,1598689,47,1215984,46,9.40%,70.39%,52.7%
19282,616475,21,766038,43,3.30%,0.69%,70.7%
13229,1061268,35,431721,236,10.90%,0.69%,66.7%
21285,1274049,23,945514,139,9.40%,97.06%,21.6%
20950,1978126,23,911831,185,4.20%,2.28%,14.3%
17283,1706902,59,627913,176,5.00%,1.13%,35.3%
11351,401934,24,365989,172,8.90%,0.00%,84.8%
24335,1973601,35,1426377,297,8.90%,16.68%,19.5%
3612,247093,32,154339,347,4.90%,0.61%,22.6%
13760,478098,23,454093,177,11.20%,0.96%,41.5%
28447,10588798,22,11716426,3,8.30%,2.74%,17.8%
18496,589831,23,705962,251,2.90%,13.11%,42.5%
22175,889333,36,1053978,70,12.80%,6.44%,79.9%
11391,536667,11,367623,114,3.60%,5.39%,89.1%
8633,944005,44,282284,344,5.60%,0.00%,77.1%
19346,733989,24,770437,80,5.10%,57.18%,37.6%
2891,221328,20,135612,2,7.30%,73.32%,59.6%
15951,401432,23,552000,166,6.00%,5.26%,49.2%
23561,1303082,41,1266760,15,7.20%,0.69%,49.5%
21963,921760,23,1025574,211,12.60%,0.20%,14.9%
11353,684973,21,365989,42,11.10%,0.15%,59.1%
15723,1685284,47,540563,70,2.90%,76.46%,45.7%
13614,388109,22,447557,234,4.90%,3.04%,78.9%
128,284923,21,27650,5,4.60%,0.90%,57.2%
8548,868219,11,280273,22,2.90%,0.01%,57.3%
15502,560798,42,530383,393,3.70%,40.43%,73.0%
118,324388,25,26016,130,5.20%,80.75%,55.2%
27653,3114301,23,3361770,47,2.60%,16.75%,45.0%
20609,948656,48,878902,136,2.20%,11.65%,2.4%
13285,692514,11,434989,114,3.40%,17.02%,80.7%
17280,937219,22,627913,173,9.90%,9.52%,10.4%
12181,400803,23,393514,50,5.80%,70.32%,78.1%
10889,564945,11,350153,52,11.60%,20.95%,19.5%
5591,253000,22,203104,244,9.90%,23.72%,58.0%
3552,729464,23,152328,161,8.00%,0.26%,49.1%
4690,379563,23,181612,69,9.90%,7.12%,83.6%
11815,384213,21,380945,246,12.10%,52.96%,45.7%
27490,4538415,60,3094945,262,3.50%,10.34%,81.8%
10007,261169,24,319235,152,11.60%,3.42%,46.1%
22479,1237852,20,1093317,212,6.00%,45.53%,73.5%
28213,4671891,23,5234197,189,2.30%,76.45%,65.2%
10761,278388,23,346508,212,9.10%,7.94%,32.9%
17411,886820,23,637213,99,5.70%,0.00%,64.8%
4834,388235,23,184754,40,10.60%,0.00%,44.6%
4575,1354486,47,178721,20,11.60%,33.65%,39.0%
12139,1023814,47,392005,55,12.00%,70.64%,68.0%
4969,264689,24,187645,277,5.90%,34.62%,38.2%
24392,1285989,23,1439825,62,8.50%,76.11%,79.0%
26107,2226978,59,2039333,66,9.10%,0.25%,15.8%
13607,533650,23,447180,232,11.60%,0.60%,26.2%
14174,960344,23,471563,55,2.80%,82.17%,23.2%
11171,540186,12,359454,21,8.40%,6.74%,52.8%
19211,873623,22,761137,239,5.00%,0.87%,26.9%
19329,1130268,57,768803,425,9.20%,2.42%,19.9%
11119,530760,23,357820,11,6.60%,8.67%,7.2%
23161,3274295,34,1201781,350,2.40%,0.79%,16.0%
19363,784137,47,771694,505,8.00%,71.55%,44.1%
22056,1191224,47,1039399,562,12.10%,23.35%,40.6%
10328,334066,12,331426,75,3.80%,23.91%,86.2%
24737,1255071,23,1532454,99,7.20%,2.63%,46.2%
10337,1252180,22,331426,194,6.70%,44.81%,33.4%
12194,372273,23,393514,14,6.80%,78.78%,48.9%
17470,1404634,23,641361,207,2.30%,13.11%,31.7%
25786,1776656,12,1877705,60,9.20%,93.29%,41.7%
8570,377803,12,280650,98,3.90%,42.97%,40.8%
27050,5001934,36,2621749,348,12.40%,0.01%,30.7%
9002,322000,23,292842,107,6.50%,16.69%,35.8%
9439,507760,11,305410,102,6.70%,30.62%,41.0%
875,217557,22,73148,16,6.00%,51.97%,94.9%
3598,215169,24,153962,65,5.30%,64.37%,28.3%
4059,256142,11,165650,12,2.30%,1.23%,63.0%
19986,711366,23,822470,117,2.60%,59.70%,38.8%
12349,605792,23,399295,145,11.40%,66.81%,61.0%
26742,2160492,23,2402432,229,9.80%,16.61%,78.1%
22289,1730153,47,1068180,292,6.60%,0.32%,55.2%
26271,2085333,35,2134350,263,6.70%,0.18%,20.9%
5191,209262,11,193301,112,3.70%,7.77%,64.0%
26336,2005273,46,2171678,205,4.50%,3.05%,57.7%
11580,602148,22,373656,233,9.50%,7.43%,4.9%
1152,257399,11,84459,127,5.80%,0.14%,44.0%
12890,279645,17,420410,119,6.00%,3.77%,18.0%
22972,1095579,22,1167344,171,3.10%,6.23%,40.0%
4520,330421,23,177842,25,5.70%,2.62%,26.8%
27583,7416934,21,3231437,144,6.00%,77.31%,65.6%
6330,410858,22,220951,41,5.10%,82.04%,12.5%
24430,1366175,23,1450383,172,10.60%,18.74%,48.2%
8223,452962,19,270470,116,3.80%,0.12%,41.4%
24144,1506311,23,1385027,98,11.40%,0.17%,47.0%
4582,236536,23,178721,215,10.90%,1.35%,41.5%
4021,174699,35,164896,88,6.30%,31.05%,4.8%
15776,543705,47,543831,69,2.70%,8.69%,48.7%
5572,196191,11,202727,85,5.80%,3.16%,62.3%
19502,1293027,35,783508,251,7.50%,12.87%,42.9%
4009,196066,22,164519,59,12.50%,0.15%,65.0%
1143,322880,11,84082,85,7.10%,82.76%,37.8%
4941,922514,12,187268,106,4.90%,21.48%,43.8%
26170,2611945,36,2063716,231,8.10%,16.08%,86.5%
1253,624016,47,88104,153,12.50%,6.45%,86.1%
17053,1189087,35,615721,96,7.40%,0.07%,27.3%
24773,1706022,35,1543765,348,10.70%,23.06%,67.2%
19757,798339,34,801732,70,8.60%,25.79%,78.0%
21462,1481552,22,967885,154,10.60%,2.08%,30.8%
22765,2197191,24,1135169,105,9.90%,0.00%,55.8%
10339,429082,23,331426,236,7.00%,55.20%,38.4%
24261,1320301,35,1413055,373,2.90%,0.00%,32.3%
11344,782754,23,365989,227,9.40%,45.91%,72.2%
10121,595738,21,323760,8,3.30%,0.24%,27.8%
5625,501852,20,203481,109,2.90%,49.94%,35.0%
3550,364732,23,152328,56,9.30%,46.78%,16.5%
12993,656945,22,424055,173,7.20%,93.80%,64.9%
15128,461760,23,513792,2,5.30%,51.50%,45.7%
28432,8876366,23,9632098,219,11.90%,27.07%,63.6%
21936,2898754,24,1023060,242,3.60%,81.56%,46.1%
13734,597749,21,452459,137,5.80%,48.41%,34.6%
2210,211273,11,117388,99,5.10%,0.55%,43.8%
1233,203858,12,86973,101,6.20%,4.65%,79.0%
2345,369508,24,121033,43,7.80%,42.95%,53.0%
24814,1211962,34,1553568,326,5.40%,1.25%,28.6%
8960,480235,12,291585,90,6.40%,0.44%,52.5%
156,189656,24,31295,162,4.60%,1.36%,27.7%
21895,1136426,47,1018284,530,3.10%,0.51%,74.1%
28185,3976109,34,5022923,115,8.10%,9.96%,56.9%
19382,804623,11,773328,22,11.10%,11.05%,39.2%
11570,396404,23,373279,195,6.10%,23.23%,18.5%
3382,212279,12,148306,130,11.80%,0.02%,29.8%
6467,398164,23,224219,130,6.10%,2.48%,20.8%
1293,186639,23,89361,189,9.80%,37.22%,52.8%
14589,1401115,43,489410,150,4.90%,50.55%,47.8%
20597,1370825,22,877770,37,10.40%,0.25%,77.9%
25658,1830574,23,1837109,82,3.00%,0.01%,67.3%
30,1310372,12,12568,16,6.60%,37.24%,29.3%
17992,663732,35,671776,126,5.80%,36.97%,86.5%
14977,413246,23,506126,147,12.90%,5.40%,75.8%
19122,1795005,47,752967,114,11.40%,66.63%,32.6%
4853,196820,22,185257,179,11.20%,66.88%,83.2%
21549,876262,45,975175,407,11.20%,0.00%,61.6%
22652,1385153,47,1114934,366,3.20%,2.09%,15.4%
18078,785645,41,676678,382,10.40%,35.14%,2.9%
20521,1316656,21,871612,196,5.40%,7.88%,77.0%
26624,1859230,23,2323251,19,6.50%,26.16%,34.8%
20582,792432,12,876514,116,3.30%,42.38%,43.2%
13197,748945,24,430590,274,4.30%,1.11%,39.2%
24007,1003956,22,1354989,246,6.30%,97.92%,42.4%
28329,5315262,48,6381934,146,2.50%,0.22%,61.3%
9545,685978,46,307923,207,4.60%,0.07%,79.6%
23230,1675858,35,1213596,209,7.20%,90.95%,23.0%
23178,2435738,11,1204672,15,4.80%,0.00%,25.7%
23806,2603650,22,1317158,15,3.60%,9.36%,49.4%
6983,416011,11,238044,119,13.00%,24.64%,38.7%
1182,272732,23,85339,12,4.50%,26.49%,59.3%
14976,976683,23,506126,72,9.20%,17.51%,29.4%
26119,2712995,12,2044612,63,2.60%,48.72%,41.0%
13035,402940,22,425186,203,7.40%,19.47%,37.9%
19451,617481,12,778607,56,3.00%,37.33%,0.5%
2626,357443,24,128322,177,3.40%,80.71%,65.7%
25232,2077164,19,1672590,218,7.00%,6.41%,55.3%
15370,1900202,35,523973,245,12.20%,0.00%,88.0%
13383,709104,30,438634,214,12.60%,3.31%,52.3%
18345,923770,22,694148,8,12.10%,0.09%,80.5%
12313,357694,12,398415,17,10.10%,4.23%,66.7%
18931,1183180,22,737131,220,4.50%,47.29%,19.1%
192,264689,21,33683,112,2.40%,57.31%,78.0%
6563,213661,12,226230,5,3.60%,0.27%,66.0%
27884,3766721,35,3847913,107,13.00%,1.34%,43.4%
28295,8054148,47,5985907,314,5.50%,42.36%,34.6%
20208,1050082,48,841197,255,6.80%,43.88%,81.8%
25890,2744667,12,1927601,16,9.10%,0.16%,29.0%
15333,983470,48,522716,367,8.10%,52.16%,47.7%
1929,215923,23,109219,162,3.50%,2.20%,56.0%
2755,459874,23,131590,90,11.60%,4.45%,44.7%
14325,510650,12,477219,30,10.90%,1.76%,41.4%
26163,5335623,46,2060448,146,5.40%,24.73%,40.9%
510,159995,21,57311,25,10.00%,6.51%,17.9%
20945,1062273,34,910574,37,11.10%,21.96%,83.6%
7550,363978,11,252623,61,13.00%,12.22%,52.0%
6231,275874,11,218563,52,2.70%,3.60%,52.0%
23103,3480541,35,1192481,268,4.70%,90.20%,48.2%
2273,908186,17,119022,14,2.70%,0.43%,31.6%
1532,373404,11,97530,89,10.30%,15.72%,48.5%
4852,347388,11,185257,41,11.90%,53.60%,80.7%
19525,898634,35,784262,412,7.20%,0.00%,21.2%
21301,1519760,36,947525,380,10.00%,4.80%,52.5%
20649,699803,11,880913,33,9.40%,98.36%,65.9%
6931,548230,11,236033,6,4.70%,6.14%,49.0%
846,156852,23,72268,272,5.00%,1.70%,38.1%
27255,3495749,23,2828874,179,5.20%,0.39%,44.6%
5041,506000,23,189656,38,12.60%,98.08%,67.4%
2747,282158,22,131590,251,9.20%,0.19%,42.6%
20825,1863628,22,899262,107,8.30%,30.97%,59.2%
11975,640104,36,385470,8,9.40%,1.10%,35.8%
4988,158109,23,188399,18,4.70%,0.02%,55.7%
27657,5926459,46,3369060,188,3.00%,2.55%,47.5%
1096,173820,23,82071,225,8.60%,46.53%,55.4%
17264,1076852,12,627158,57,4.30%,32.07%,37.3%
3893,154590,23,161251,152,5.40%,17.12%,33.3%
24991,1549169,12,1600322,34,5.30%,2.86%,70.2%
25477,1628978,12,1762328,54,11.80%,3.46%,82.4%
26258,3019913,11,2125426,14,5.80%,3.71%,19.8%
5398,323005,21,198956,63,7.20%,0.01%,79.5%
21541,1314268,48,973918,329,6.70%,0.00%,40.5%
26966,2060951,35,2567705,118,8.80%,0.00%,58.3%
23955,983470,35,1345563,316,4.70%,56.69%,79.6%
10758,600137,23,346005,265,5.50%,0.96%,60.4%
28269,7766710,48,5753268,566,12.30%,46.53%,72.0%
23476,1035000,23,1253814,274,8.60%,3.87%,50.6%
19398,618109,23,774082,238,5.10%,13.85%,64.1%
8949,264060,11,291585,94,12.00%,2.12%,62.2%
6205,730470,11,217683,72,9.70%,0.06%,53.5%
20371,609940,24,856530,32,7.20%,68.87%,59.6%
21095,1100732,23,926913,120,4.80%,2.13%,49.8%
8052,728836,23,266448,265,7.90%,81.03%,31.6%
17560,556525,42,646639,470,6.30%,0.17%,17.6%
11052,558410,23,354929,215,8.80%,1.41%,77.2%
17534,559541,24,645005,127,2.10%,0.39%,50.1%
27188,2193546,34,2758995,223,11.80%,0.01%,21.3%
22350,1051087,35,1074339,145,2.90%,97.92%,51.4%
14008,913339,12,463393,118,13.00%,15.29%,44.2%
19982,2495186,11,822093,28,4.20%,83.77%,19.3%
2873,524978,48,135235,451,10.10%,55.17%,7.7%
17963,783508,12,669765,72,5.10%,87.98%,20.4%
9773,397410,12,313579,66,12.00%,0.11%,26.7%
8918,718279,23,290454,162,2.90%,0.21%,78.3%
13898,876514,24,459372,73,8.10%,81.75%,35.5%
26171,3518120,23,2064093,251,10.80%,16.97%,31.6%
16285,900393,22,569847,36,2.70%,11.52%,36.7%
8130,831142,12,268082,78,4.90%,18.94%,82.4%
1863,270847,36,107585,244,5.50%,49.05%,63.8%
9308,2624765,47,301765,171,6.90%,0.40%,52.0%
18115,1478661,23,678689,74,4.20%,0.82%,40.9%
17803,1089169,24,660464,117,6.10%,3.86%,64.4%
17937,1184437,48,667754,276,12.10%,0.15%,65.0%
12380,553760,12,400426,68,7.00%,0.64%,77.9%
20108,2072891,35,832650,148,5.50%,31.59%,6.2%
20640,915601,24,880536,91,12.30%,0.50%,63.1%
10221,379186,12,326525,22,4.40%,12.40%,55.3%
5740,4007907,22,207126,125,4.80%,26.05%,26.7%
6319,719410,25,220574,26,3.70%,88.02%,81.0%
15373,778607,33,524350,107,8.10%,2.78%,67.4%
2545,216175,21,125934,175,7.40%,20.32%,52.2%
19907,622383,23,815934,231,5.70%,35.20%,50.7%
27847,5765082,14,3751639,87,9.10%,4.29%,72.3%
13007,627158,23,424432,124,10.10%,0.20%,70.8%
18405,809022,48,698546,301,9.70%,13.64%,83.1%
20282,1005716,23,848109,13,9.40%,51.64%,93.6%
3324,218940,23,146672,212,4.30%,81.59%,15.6%
3094,279393,12,140891,143,2.20%,14.44%,48.2%
