ID,OriginalAmount,Term,YearlyInterestRate,CurrentInstallment,PD
4849,10041,23,26%,18,26.34%
4850,6677,57,14%,5,50.59%
4851,5360,23,28%,8,45.99%
4852,34292,62,29%,40,78.30%
4853,2408,23,25%,2,95.45%
4854,6678,22,18%,18,44.92%
4855,4522,46,26%,7,2.73%
4856,16064,36,28%,14,69.97%
4857,5397,19,31%,11,18.73%
4858,1499,23,30%,6,42.60%
4859,5112,35,22%,32,4.54%
4860,3862,23,17%,14,18.20%
4861,1330,22,24%,14,60.21%
4862,9101,20,14%,2,53.64%
4863,6193,47,7%,18,46.64%
4864,7687,23,24%,2,7.89%
4865,7845,23,12%,7,0.00%
4866,3217,33,6%,24,41.31%
4867,2087,22,24%,11,18.75%
4868,6149,12,30%,5,37.12%
4869,6662,35,9%,12,8.25%
4870,3997,24,16%,2,2.43%
4871,5963,12,22%,4,97.63%
4872,5089,11,22%,2,37.60%
4873,1629,23,19%,13,51.67%
4874,1370,60,6%,15,76.83%
4875,7626,35,7%,18,43.24%
4876,13284,22,11%,11,37.15%
4877,27076,24,24%,11,0.63%
4878,10297,33,20%,6,71.02%
4879,5066,21,19%,13,69.69%
4880,19977,43,15%,30,27.41%
4881,8012,23,26%,2,3.29%
4882,11365,60,23%,10,6.73%
4883,1833,19,28%,12,34.44%
4884,8397,19,27%,5,0.14%
4885,5872,23,31%,6,0.02%
4886,6371,47,12%,10,79.56%
4887,11707,11,6%,4,17.29%
4888,1908,23,31%,15,86.59%
4889,3290,28,16%,15,10.87%
4890,40560,35,7%,5,7.02%
4891,2635,23,26%,21,11.88%
4892,8895,12,15%,2,9.55%
4893,6963,11,18%,6,4.73%
4894,5617,22,8%,16,0.15%
4895,15952,22,29%,11,4.16%
4896,1800,21,9%,6,9.87%
4897,8191,23,6%,8,1.20%
4898,3215,43,22%,2,74.39%
4899,31942,23,16%,10,13.77%
4900,3269,21,15%,19,2.49%
4901,7919,35,27%,11,31.27%
4902,5500,22,7%,1,1.88%
4903,3789,23,12%,8,0.48%
4904,2854,34,8%,8,1.15%
4905,13213,31,20%,13,39.98%
4906,2118,11,22%,7,82.45%
4907,1713,11,28%,3,18.09%
4908,1278,13,6%,3,0.00%
4909,2906,40,19%,3,3.67%
4910,1895,11,9%,1,24.34%
4911,5049,11,15%,4,0.00%
4912,11774,23,27%,20,6.26%
4913,11763,33,20%,10,7.38%
4914,15609,23,14%,5,40.77%
4915,2064,12,16%,9,30.94%
4916,4575,35,13%,27,78.39%
4917,5961,35,15%,13,3.27%
4918,5808,21,15%,5,60.23%
4919,18520,11,31%,8,11.44%
4920,4360,11,20%,9,63.45%
4921,8885,23,11%,6,1.83%
4922,2473,20,8%,18,3.57%
4923,4078,33,5%,19,4.28%
4924,8172,21,28%,6,14.09%
4925,2456,35,12%,29,11.10%
4926,12862,47,15%,28,0.14%
4927,3825,13,18%,1,0.01%
4928,2776,46,25%,22,59.37%
4929,2135,11,15%,4,9.76%
4930,2899,34,25%,1,0.21%
4931,3883,23,23%,16,20.86%
4932,3430,46,26%,41,0.22%
4933,11496,21,29%,4,34.13%
4934,18116,11,10%,7,22.57%
4935,2752,12,7%,10,0.73%
4936,5873,23,20%,13,2.64%
4937,5802,18,25%,5,29.10%
4938,12961,48,27%,19,0.00%
4939,39925,23,5%,13,2.37%
4940,5050,47,32%,28,8.87%
4941,2746,22,31%,10,79.74%
4942,12276,36,16%,29,3.17%
4943,10050,35,8%,3,3.74%
4944,4863,19,22%,10,26.89%
4945,7695,12,13%,8,14.29%
4946,28174,23,20%,11,84.82%
4947,5913,11,8%,5,0.00%
4948,2915,22,6%,7,16.14%
4949,1260,11,25%,8,0.19%
4950,1659,47,20%,7,57.53%
4951,8129,35,27%,22,1.70%
4952,5503,34,13%,1,0.34%
4953,4628,23,19%,8,3.72%
4954,8111,36,17%,9,92.07%
4955,10674,35,24%,4,41.59%
4956,1739,23,25%,2,0.27%
4957,27068,47,26%,2,0.23%
4958,67281,22,24%,9,25.28%
4959,8729,23,12%,13,0.00%
4960,1535,12,18%,5,79.36%
4961,2727,23,31%,9,0.23%
4962,4091,21,23%,2,0.75%
4963,3425,11,21%,4,13.78%
4964,5445,58,28%,53,42.90%
4965,1304,12,12%,2,92.22%
4966,9230,23,23%,20,70.05%
4967,4020,23,29%,11,11.88%
4968,7310,23,19%,5,78.08%
4969,2402,25,11%,15,9.89%
4970,4138,12,24%,2,2.49%
4971,16074,11,19%,4,1.68%
4972,7233,23,8%,9,8.02%
4973,3879,21,23%,15,96.03%
4974,17198,33,30%,7,49.32%
4975,10183,11,28%,8,12.75%
4976,3987,36,28%,25,35.98%
4977,4361,24,12%,19,74.66%
4978,1770,22,27%,9,21.46%
4979,4628,23,23%,20,21.98%
4980,8657,22,20%,20,79.41%
4981,21573,35,32%,16,2.87%
4982,1253,47,15%,6,15.18%
4983,5080,23,16%,12,0.09%
4984,7639,46,26%,15,0.07%
4985,3901,20,26%,15,26.89%
4986,6475,46,23%,17,0.46%
4987,10351,35,32%,11,0.00%
4988,2520,35,20%,32,0.05%
4989,18020,23,31%,3,0.02%
4990,4030,48,27%,8,51.28%
4991,1387,18,18%,3,13.32%
4992,7131,31,9%,15,0.00%
4993,14861,23,25%,12,19.55%
4994,6496,23,30%,16,1.35%
4995,36996,23,8%,15,34.43%
4996,3141,24,5%,21,38.39%
4997,9975,24,13%,5,5.37%
4998,2302,23,30%,5,0.96%
4999,2197,48,17%,45,5.08%
5000,4564,23,14%,12,37.21%
5001,5852,41,22%,7,21.06%
5002,2680,47,28%,44,0.02%
5003,8863,19,32%,2,5.65%
5004,2369,23,14%,19,9.26%
5005,8098,22,24%,12,6.13%
5006,13527,23,32%,2,23.20%
5007,12936,31,13%,28,0.66%
5008,8006,48,7%,44,20.45%
5009,2786,22,10%,10,0.01%
5010,21386,24,11%,14,1.45%
5011,1541,20,20%,11,0.17%
5012,3814,21,8%,11,24.00%
5013,23102,34,14%,22,3.29%
5014,16486,23,24%,10,22.81%
5015,3019,22,10%,20,75.96%
5016,3063,23,23%,11,43.47%
5017,13512,23,15%,9,0.09%
5018,8361,13,12%,7,37.87%
5019,1354,18,24%,10,73.94%
5020,8007,23,5%,10,69.14%
5021,5224,23,17%,17,6.87%
5022,2079,38,31%,30,0.40%
5023,2135,12,6%,9,26.24%
5024,5315,11,15%,9,50.49%
5025,1185,23,21%,17,35.56%
5026,4297,47,27%,43,29.15%
5027,3742,24,15%,20,9.58%
5028,13255,59,12%,32,8.34%
5029,4077,12,27%,1,0.02%
5030,7430,22,30%,16,74.83%
5031,5081,20,6%,4,1.23%
5032,3618,23,28%,6,22.98%
5033,2067,22,19%,2,7.69%
5034,4104,12,22%,5,0.14%
5035,38854,47,11%,34,3.98%
5036,15499,24,28%,20,20.27%
5037,10502,54,6%,14,26.62%
5038,1208,23,30%,13,11.76%
5039,5140,23,9%,5,38.20%
5040,23146,60,9%,11,92.07%
5041,7652,22,8%,1,49.93%
5042,2283,12,30%,5,4.92%
5043,1669,11,29%,5,64.63%
5044,9811,23,18%,2,1.66%
5045,13178,32,26%,24,0.13%
5046,5175,22,32%,12,28.78%
5047,3224,23,27%,8,7.82%
5048,7468,48,8%,27,21.66%
5049,5814,23,20%,19,96.12%
5050,13284,11,29%,2,1.04%
5051,16383,23,18%,6,3.08%
5052,4875,22,32%,4,31.99%
5053,10763,23,12%,4,0.45%
5054,5842,58,21%,47,57.51%
5055,1785,24,16%,3,44.23%
5056,1520,11,7%,3,4.92%
5057,3767,48,19%,34,2.17%
5058,7960,21,13%,6,80.12%
5059,3772,47,22%,5,28.82%
5060,3585,23,25%,16,84.40%
5061,15227,22,16%,18,22.60%
5062,1930,35,29%,4,46.99%
5063,1633,58,32%,37,63.06%
5064,7518,18,27%,7,95.05%
5065,3904,24,30%,21,5.04%
5066,1292,40,31%,3,60.39%
5067,7995,32,25%,26,0.04%
5068,1146,22,13%,5,21.62%
5069,4002,25,11%,22,20.12%
5070,8475,48,15%,9,6.65%
5071,6158,22,27%,20,20.74%
5072,22193,32,9%,23,0.01%
5073,5371,35,13%,20,10.42%
5074,8804,47,30%,9,1.45%
5075,4085,35,25%,33,55.10%
5076,16732,11,26%,4,4.90%
5077,1843,23,32%,16,9.46%
5078,4413,11,13%,3,86.13%
5079,5877,21,7%,12,2.21%
5080,36390,11,20%,4,95.76%
5081,6832,24,17%,19,0.45%
5082,7204,48,30%,34,10.71%
5083,1848,23,28%,11,4.48%
5084,2491,36,18%,8,74.00%
5085,4752,46,16%,22,0.26%
5086,2108,23,31%,20,95.69%
5087,1499,23,30%,21,2.73%
5088,1381,24,31%,11,71.98%
5089,3629,35,21%,22,44.98%
5090,1543,58,15%,34,2.03%
5091,7861,42,29%,31,76.68%
5092,5800,23,6%,9,32.20%
5093,7987,24,13%,19,4.28%
5094,8351,35,15%,9,57.24%
5095,24144,34,21%,10,0.00%
5096,3885,14,27%,10,11.83%
5097,1805,18,28%,14,2.91%
5098,2802,59,13%,1,10.00%
5099,32394,44,32%,11,61.63%
5100,3731,24,28%,6,85.01%
5101,11487,47,14%,41,38.46%
5102,1522,20,23%,1,48.40%
5103,1292,23,5%,2,21.02%
5104,33327,22,13%,4,1.56%
5105,13691,22,21%,9,33.84%
5106,8048,13,27%,10,1.60%
5107,13514,19,9%,15,0.02%
5108,3178,48,17%,39,1.07%
5109,8437,22,18%,17,74.15%
5110,78196,22,9%,20,58.71%
5111,6535,23,17%,9,0.88%
5112,1480,22,12%,11,39.47%
5113,3340,24,18%,4,88.87%
5114,14840,39,7%,19,45.11%
5115,21245,24,19%,22,7.28%
5116,7093,24,21%,3,35.74%
5117,5444,54,13%,8,15.55%
5118,9077,23,12%,9,0.27%
5119,1418,58,25%,47,73.78%
5120,2532,46,6%,24,1.92%
5121,3198,12,25%,10,0.03%
5122,5495,23,7%,4,17.32%
5123,30689,23,32%,1,3.70%
5124,7872,35,31%,28,49.77%
5125,6697,23,24%,12,73.75%
5126,1527,23,6%,4,33.11%
5127,6014,35,22%,16,35.65%
5128,40554,62,10%,1,99.47%
5129,13454,35,25%,3,35.19%
5130,4342,11,10%,8,2.86%
5131,9106,19,25%,12,0.00%
5132,6593,20,10%,7,53.81%
5133,3203,57,31%,38,4.48%
5134,2467,22,14%,5,1.32%
5135,2246,35,15%,1,12.41%
5136,9411,23,10%,17,71.54%
5137,30287,59,12%,5,3.41%
5138,3890,13,7%,4,1.94%
5139,2618,22,23%,12,2.20%
5140,5525,23,20%,11,3.87%
5141,3802,11,19%,9,11.12%
5142,8285,48,21%,16,16.46%
5143,5625,23,31%,14,0.02%
5144,4649,12,13%,7,2.10%
5145,4853,11,28%,9,5.41%
5146,7982,23,27%,15,98.19%
5147,1499,27,10%,17,5.91%
5148,3554,23,22%,11,12.02%
5149,3036,13,6%,7,4.15%
5150,4017,34,13%,19,6.99%
5151,1820,24,25%,22,63.31%
5152,8991,34,31%,25,3.34%
5153,6098,23,30%,21,30.20%
5154,2363,24,16%,10,12.98%
5155,2494,22,10%,6,8.03%
5156,14142,23,7%,3,1.58%
5157,11238,32,9%,16,4.29%
5158,5220,22,5%,10,30.47%
5159,6011,44,18%,39,12.00%
5160,3021,19,30%,5,8.24%
5161,9420,23,25%,14,42.17%
5162,15650,47,12%,22,11.02%
5163,2883,22,23%,15,0.10%
5164,7627,34,31%,32,0.06%
5165,5271,28,12%,11,1.08%
5166,4575,22,32%,14,33.70%
5167,2009,47,31%,43,0.27%
5168,50271,25,24%,4,0.10%
5169,3074,22,22%,9,3.04%
5170,5275,35,11%,25,17.32%
5171,6120,33,17%,14,0.17%
5172,1874,21,11%,12,8.91%
5173,9904,23,15%,5,3.05%
5174,8081,35,17%,6,31.15%
5175,2073,59,5%,45,23.10%
5176,3187,24,17%,2,70.05%
5177,1490,58,13%,17,55.99%
5178,3000,23,21%,7,81.62%
5179,1571,22,32%,11,0.00%
5180,18195,46,14%,11,0.12%
5181,7388,34,18%,8,18.99%
5182,4964,36,26%,8,0.05%
5183,27515,22,29%,16,0.16%
5184,8423,22,30%,1,31.56%
5185,3980,23,11%,5,86.00%
5186,2027,22,22%,16,7.58%
5187,3932,25,9%,17,19.21%
5188,1597,23,10%,8,59.98%
5189,7768,47,26%,3,97.25%
5190,2863,24,27%,10,9.07%
5191,19476,22,21%,5,23.72%
5192,7214,33,8%,21,96.98%
5193,7562,46,32%,4,0.08%
5194,2446,23,29%,8,0.35%
5195,15608,23,32%,6,26.49%
5196,5236,45,7%,23,43.04%
5197,21936,23,12%,2,65.19%
5198,13410,23,16%,15,46.93%
5199,10871,24,22%,21,55.70%
5200,2611,15,24%,13,2.39%
5201,8608,11,17%,5,13.79%
5202,2765,23,27%,20,5.76%
5203,1788,12,29%,10,1.47%
5204,1154,36,21%,22,44.83%
5205,7558,23,18%,10,31.42%
5206,3585,36,30%,32,3.17%
5207,9967,37,32%,3,15.80%
5208,8721,47,21%,19,19.88%
5209,11795,23,21%,13,0.15%
5210,1660,11,8%,1,5.94%
5211,11538,23,12%,11,0.01%
5212,2897,35,5%,6,0.17%
5213,6078,52,18%,3,29.26%
5214,19042,22,20%,5,69.25%
5215,1580,58,11%,2,56.35%
5216,4684,12,6%,5,0.04%
5217,3588,35,26%,17,41.04%
5218,38592,47,10%,38,3.90%
5219,5282,58,9%,41,99.33%
5220,6366,35,14%,1,44.92%
5221,7945,39,10%,6,17.92%
5222,6543,24,23%,22,18.17%
5223,6802,32,19%,24,45.21%
5224,13501,32,10%,13,12.41%
5225,5253,47,18%,9,90.86%
5226,2032,23,31%,14,0.26%
5227,3380,22,14%,8,0.41%
5228,13422,24,15%,12,0.20%
5229,3874,23,9%,9,0.00%
5230,10691,23,26%,14,1.47%
5231,2088,11,26%,9,2.54%
5232,4501,45,23%,3,3.68%
5233,5438,17,17%,14,38.68%
5234,3584,23,27%,9,3.75%
5235,5631,47,14%,9,2.42%
5236,6372,23,24%,14,2.93%
5237,21955,11,29%,4,0.01%
5238,3640,12,27%,5,50.32%
5239,4344,13,29%,4,12.34%
5240,3327,18,7%,10,0.00%
5241,12930,49,31%,47,0.12%
5242,4649,35,9%,20,90.72%
5243,4284,24,30%,18,0.38%
5244,5393,47,23%,21,0.00%
5245,2316,12,20%,9,25.90%
5246,4790,60,32%,38,0.27%
5247,2798,34,25%,5,62.32%
5248,2154,23,8%,2,15.22%
5249,5773,34,19%,25,0.03%
5250,3626,23,13%,6,12.93%
5251,20739,23,30%,17,57.39%
5252,4029,23,18%,18,15.27%
5253,3687,23,15%,7,0.62%
5254,7700,23,17%,21,98.38%
5255,3203,12,10%,10,0.21%
5256,18364,27,9%,23,55.98%
5257,1509,11,8%,9,2.48%
5258,6277,21,7%,8,28.45%
5259,7552,35,32%,9,21.13%
5260,1607,11,12%,9,1.59%
5261,2470,23,13%,8,66.84%
5262,8079,35,6%,9,52.16%
5263,4896,30,14%,3,12.73%
5264,4305,23,28%,18,24.04%
5265,9867,36,18%,27,68.35%
5266,9024,36,23%,12,1.73%
5267,2058,12,30%,7,35.85%
5268,3740,20,13%,1,0.19%
5269,8409,31,15%,16,94.53%
5270,10543,48,30%,29,31.43%
5271,16030,45,10%,9,0.68%
5272,16412,22,6%,8,21.37%
5273,6207,12,10%,1,15.26%
5274,43664,11,32%,6,0.22%
5275,19091,15,9%,7,31.50%
5276,1188,48,18%,11,0.86%
5277,1394,58,28%,34,15.62%
5278,15584,23,31%,5,9.39%
5279,6929,12,28%,7,2.71%
5280,7669,47,26%,11,10.00%
5281,10266,23,20%,17,36.48%
5282,3463,23,12%,4,32.59%
5283,6396,23,6%,18,2.07%
5284,4945,22,23%,15,0.24%
5285,8794,47,9%,25,15.50%
5286,4202,47,18%,37,50.55%
5287,3788,21,10%,6,0.00%
5288,2061,23,20%,9,0.04%
5289,16839,42,29%,35,0.00%
5290,7606,18,26%,2,16.02%
5291,3787,16,14%,14,3.51%
5292,4928,24,27%,15,0.00%
5293,1872,59,26%,1,88.73%
5294,9577,23,11%,21,60.69%
5295,1666,35,21%,17,98.19%
5296,3414,35,19%,33,91.88%
5297,4176,23,32%,21,32.19%
5298,2081,11,17%,9,24.17%
5299,52324,22,22%,13,16.58%
5300,1689,12,5%,8,15.95%
5301,8296,48,10%,22,12.91%
5302,10498,47,19%,35,10.40%
5303,5154,36,23%,18,9.11%
5304,3201,47,11%,9,0.01%
5305,6548,47,14%,19,0.01%
5306,1837,23,10%,1,0.11%
5307,2700,34,8%,18,0.03%
5308,1648,23,30%,19,3.59%
5309,8262,22,21%,4,1.65%
5310,1634,20,19%,16,0.04%
5311,2774,33,25%,26,54.87%
5312,1774,21,13%,13,14.48%
5313,8694,47,10%,3,67.88%
5314,19674,23,30%,8,12.33%
5315,1345,47,28%,3,85.63%
5316,13178,34,30%,10,43.57%
5317,6939,48,14%,20,42.34%
5318,1668,41,24%,31,93.76%
5319,4022,28,8%,13,19.41%
5320,1635,47,29%,40,3.88%
5321,5162,36,24%,3,52.45%
5322,2332,21,18%,4,91.76%
5323,2395,12,18%,4,35.32%
5324,1911,11,22%,2,24.68%
5325,13632,47,5%,24,7.61%
5326,4142,12,21%,2,13.35%
5327,9645,35,13%,17,25.94%
5328,13121,23,19%,20,0.03%
5329,3584,23,12%,15,99.16%
5330,6528,35,31%,19,51.91%
5331,2690,23,19%,2,81.86%
5332,3931,35,27%,32,5.59%
5333,14512,11,11%,5,60.56%
5334,22028,12,15%,10,84.02%
5335,17096,24,5%,5,23.10%
5336,4053,24,23%,5,95.05%
5337,7351,22,5%,13,9.85%
5338,1499,23,31%,6,0.74%
5339,25637,47,30%,12,39.67%
5340,26626,34,10%,21,0.73%
5341,1605,23,26%,11,49.65%
5342,8259,34,7%,25,45.71%
5343,35936,34,25%,26,8.25%
5344,2516,22,8%,17,28.88%
5345,2093,13,5%,3,68.24%
5346,4896,47,22%,10,0.01%
5347,30689,23,11%,9,0.63%
5348,4373,24,24%,2,20.59%
5349,18638,24,17%,2,45.07%
5350,4493,60,23%,44,0.53%
5351,2060,34,32%,21,5.29%
5352,1405,23,26%,19,12.12%
5353,8694,24,5%,3,5.92%
5354,3583,36,23%,15,40.83%
5355,6441,47,27%,37,10.68%
5356,2504,11,32%,6,5.76%
5357,5630,22,6%,17,0.17%
5358,5523,47,8%,34,47.40%
5359,38870,48,17%,24,7.95%
5360,5625,23,23%,11,15.42%
5361,8114,24,25%,22,7.49%
5362,3039,11,9%,9,0.00%
5363,15227,23,9%,7,1.32%
5364,9822,45,5%,6,1.98%
5365,7958,32,23%,19,0.82%
5366,1494,23,8%,14,10.69%
5367,6334,47,9%,3,0.08%
5368,8921,47,5%,6,0.79%
5369,19024,35,14%,14,39.24%
5370,1888,20,19%,6,5.73%
5371,3310,45,26%,33,0.89%
5372,2683,22,22%,20,49.60%
5373,8765,23,32%,21,20.49%
5374,4464,22,28%,1,50.60%
5375,12048,23,5%,16,1.52%
5376,10047,11,26%,9,0.01%
5377,1204,11,15%,3,34.27%
5378,3565,23,13%,15,3.24%
5379,7560,35,28%,3,6.80%
5380,3675,22,22%,16,39.91%
5381,3779,23,9%,8,2.41%
5382,3540,34,18%,17,58.61%
5383,4167,46,20%,14,0.02%
5384,87042,34,26%,7,0.00%
5385,6812,22,21%,2,17.20%
5386,8087,48,29%,29,21.56%
5387,23800,23,18%,10,94.74%
5388,4609,47,23%,33,23.48%
5389,4622,22,5%,16,0.37%
5390,6619,24,21%,16,45.91%
5391,2131,11,22%,5,24.28%
5392,2640,24,19%,7,2.58%
5393,33695,36,26%,27,18.55%
5394,17101,23,7%,6,72.75%
5395,19599,23,29%,18,62.28%
5396,6576,22,8%,3,87.78%
5397,7274,23,24%,17,12.97%
5398,2696,31,12%,17,3.04%
5399,5432,35,8%,28,59.51%
5400,25430,45,32%,30,71.09%
5401,1417,47,16%,27,24.53%
5402,7045,24,14%,9,1.83%
5403,6891,47,16%,17,60.97%
5404,2110,47,20%,8,11.17%
5405,5767,35,12%,2,12.34%
5406,11806,12,13%,2,0.71%
5407,2277,23,15%,9,81.71%
5408,5228,47,25%,14,3.06%
5409,13749,34,13%,29,38.34%
5410,4423,12,6%,9,0.00%
5411,2944,34,22%,28,20.10%
5412,1322,11,12%,6,17.72%
5413,9909,35,13%,16,6.91%
5414,1474,11,27%,1,2.02%
5415,2529,13,28%,4,0.02%
5416,4577,22,22%,8,91.42%
5417,4771,12,5%,8,0.13%
5418,8737,23,31%,3,2.80%
5419,13261,35,11%,32,1.63%
5420,13427,23,12%,16,0.32%
5421,1386,23,27%,17,90.97%
5422,3184,22,11%,7,99.44%
5423,16855,36,32%,31,83.47%
5424,5530,22,30%,20,0.16%
5425,14358,17,14%,3,27.57%
5426,5493,23,23%,21,0.30%
5427,10763,23,13%,13,48.26%
5428,1217,23,27%,3,55.36%
5429,5034,21,30%,15,41.71%
5430,18416,35,9%,23,34.81%
5431,14624,23,27%,13,3.32%
5432,2816,22,29%,5,98.22%
5433,1339,21,15%,17,4.13%
5434,3102,43,9%,14,29.18%
5435,3493,33,28%,19,87.21%
5436,8933,23,32%,15,28.44%
5437,3215,23,16%,10,13.20%
5438,3747,35,13%,31,32.41%
5439,8929,25,30%,20,57.23%
5440,11708,34,26%,21,15.86%
5441,4117,35,13%,30,10.56%
5442,1416,11,29%,1,3.90%
5443,3294,20,27%,2,12.18%
5444,2516,59,14%,39,94.08%
5445,6404,12,31%,2,0.38%
5446,1693,23,18%,10,3.21%
5447,4410,35,30%,29,12.98%
5448,8474,22,10%,2,2.95%
5449,9944,23,9%,17,54.22%
5450,8425,28,29%,15,38.94%
5451,6529,22,21%,20,29.33%
5452,5392,24,13%,1,0.56%
5453,8329,47,13%,34,0.46%
5454,9611,24,27%,21,14.18%
5455,2369,59,25%,5,11.05%
5456,3984,24,5%,3,1.94%
5457,5213,35,32%,21,88.39%
5458,7403,23,18%,7,31.31%
5459,4612,47,8%,42,73.26%
5460,3682,22,10%,10,0.04%
5461,4480,47,24%,45,14.56%
5462,4975,24,27%,3,0.00%
5463,7552,22,17%,20,4.02%
5464,5680,35,16%,2,3.35%
5465,8239,23,30%,4,54.49%
5466,8167,20,31%,1,0.35%
5467,5451,23,30%,11,56.07%
5468,8506,28,26%,6,9.50%
5469,22797,23,5%,17,60.83%
5470,34082,23,23%,9,48.84%
5471,3371,23,7%,15,0.11%
5472,4920,11,6%,7,8.31%
5473,3957,47,10%,14,10.12%
5474,9988,23,23%,8,24.61%
5475,101593,22,9%,8,20.03%
5476,5300,21,24%,18,0.43%
5477,8588,36,18%,26,13.06%
5478,3312,20,14%,5,1.68%
5479,8111,36,5%,26,0.01%
5480,3990,11,5%,1,5.07%
5481,8766,36,32%,1,1.72%
5482,9479,21,14%,7,0.00%
5483,5906,47,31%,36,43.84%
5484,3610,20,21%,2,11.02%
5485,6751,24,5%,1,0.77%
5486,8437,23,22%,4,82.69%
5487,3261,23,32%,9,10.48%
5488,1535,18,19%,16,9.28%
5489,26850,22,13%,19,7.53%
5490,4197,23,17%,19,0.98%
5491,7199,12,19%,6,95.88%
5492,2647,11,26%,4,19.12%
5493,7816,23,13%,2,0.15%
5494,10625,47,29%,5,38.13%
5495,2288,23,14%,7,11.57%
5496,19250,22,19%,20,17.30%
5497,1664,21,25%,1,1.81%
5498,5773,22,22%,8,59.10%
5499,25438,47,12%,31,3.73%
5500,4688,24,21%,21,5.64%
5501,1241,59,17%,1,4.64%
5502,16446,47,7%,3,0.11%
5503,6323,47,24%,20,7.56%
5504,4035,21,26%,13,44.77%
5505,2158,23,32%,9,0.26%
5506,12416,22,16%,11,8.56%
5507,3076,12,23%,3,31.72%
5508,23867,23,8%,10,93.00%
5509,1933,46,23%,38,10.12%
5510,3742,22,11%,17,54.54%
5511,9330,48,18%,14,46.14%
5512,5064,60,22%,24,85.99%
5513,32071,24,16%,10,35.82%
5514,6395,36,27%,21,11.70%
5515,13189,36,10%,33,0.09%
5516,3879,11,27%,3,91.42%
5517,4698,33,18%,13,0.30%
5518,15198,31,5%,17,0.40%
5519,2785,35,32%,12,16.94%
5520,112479,23,14%,20,14.87%
5521,2483,23,28%,13,23.30%
5522,2456,34,20%,23,67.69%
5523,2231,33,21%,30,59.65%
5524,8519,22,29%,9,0.00%
5525,8375,11,7%,7,0.87%
5526,2369,23,25%,20,8.49%
5527,6664,23,28%,15,0.02%
5528,5064,60,31%,46,6.08%
5529,8841,23,20%,19,25.44%
5530,1776,35,10%,5,0.92%
5531,13022,23,31%,7,4.43%
5532,5831,45,16%,23,8.68%
5533,4748,35,17%,33,0.00%
5534,2024,21,19%,4,28.00%
5535,1444,27,27%,8,0.70%
5536,4108,23,31%,9,11.33%
5537,1423,21,15%,11,1.05%
5538,3310,12,23%,8,32.25%
5539,12009,53,28%,35,76.05%
5540,6354,23,31%,11,29.59%
5541,34816,23,26%,14,3.70%
5542,12359,23,5%,14,21.20%
5543,6431,23,17%,15,45.14%
5544,6836,21,6%,16,51.49%
5545,2990,32,5%,28,1.42%
5546,6537,11,23%,8,21.54%
5547,5992,23,18%,16,0.00%
5548,15723,34,26%,1,66.69%
5549,8104,48,7%,26,48.34%
5550,6948,12,16%,4,4.61%
5551,11192,22,30%,9,1.15%
5552,1388,11,24%,2,37.69%
5553,4659,47,32%,19,4.60%
5554,8158,45,23%,28,0.23%
5555,7140,47,29%,32,46.10%
5556,3123,23,13%,20,0.88%
5557,7073,47,32%,1,7.24%
5558,8114,58,7%,12,5.86%
5559,4919,48,7%,25,91.02%
5560,1664,12,29%,10,0.00%
5561,15989,24,7%,15,0.65%
5562,2127,12,15%,8,46.23%
5563,16942,36,26%,34,11.79%
5564,5683,33,18%,18,2.79%
5565,7652,19,14%,3,56.31%
5566,11913,46,5%,18,0.21%
5567,39335,58,27%,3,19.60%
5568,16110,22,27%,14,29.25%
5569,12862,24,6%,6,3.33%
5570,1573,22,30%,8,0.07%
5571,4552,23,30%,5,11.05%
5572,3244,11,25%,3,0.06%
5573,3882,45,18%,36,16.16%
5574,13439,52,16%,42,3.85%
5575,8093,21,6%,8,3.51%
5576,3742,31,7%,27,3.94%
5577,5594,22,14%,1,48.95%
5578,3023,22,10%,18,0.44%
5579,1954,11,21%,1,18.26%
5580,6630,35,30%,7,0.40%
5581,1562,21,15%,7,9.64%
5582,3053,24,29%,7,1.56%
5583,7265,35,31%,22,0.01%
5584,3250,23,11%,13,64.99%
5585,3128,24,16%,1,8.11%
5586,2119,35,21%,14,21.32%
5587,5255,36,7%,3,61.70%
5588,1707,24,24%,8,19.77%
5589,1927,14,24%,6,7.79%
5590,1258,23,16%,9,7.17%
5591,5123,35,15%,22,0.09%
5592,2979,47,21%,35,0.31%
5593,1481,23,12%,11,17.98%
5594,6366,47,21%,5,1.64%
5595,4600,24,28%,8,25.63%
5596,6846,32,30%,5,2.87%
5597,13485,47,17%,24,0.91%
5598,25253,47,11%,7,3.11%
5599,5816,46,24%,5,0.09%
5600,5752,46,13%,40,90.92%
5601,5388,24,20%,21,0.08%
5602,3264,11,17%,2,0.08%
5603,10457,31,7%,24,4.66%
5604,4531,48,22%,4,83.22%
5605,3974,22,14%,13,25.11%
5606,8544,22,24%,2,99.79%
5607,4037,12,14%,10,68.11%
5608,9172,47,6%,40,37.09%
5609,3565,43,10%,26,0.01%
5610,7671,16,19%,3,0.00%
5611,33402,36,9%,32,26.29%
5612,9619,23,5%,17,90.09%
5613,4522,24,25%,20,51.39%
5614,2917,18,26%,14,79.18%
5615,4782,31,30%,15,22.95%
5616,12233,47,30%,4,97.99%
5617,4260,26,30%,18,0.05%
5618,8437,36,19%,7,25.57%
5619,1671,23,17%,9,6.51%
5620,5321,46,23%,13,13.61%
5621,3291,48,17%,37,22.84%
5622,2152,21,10%,1,0.00%
5623,2948,47,24%,41,19.83%
